Name,Shelter Number,Address,Area,Capacity,Operator,Unnamed: 6,Latitude,Longitude
Kiryat HaYovel,721,"29 Uruguay St., Jerusalem, Israel",,130,104,"Community Administration, Public Health Division, Jerusalem Municipality",31.75512,35.17729
Kiryat HaYovel,722 - Temporarily Inactive,"67 Avraham Stern St., Jerusalem, Israel",,130,104,"Emergency and Security Division, Jerusalem Municipality",31.75488,35.17664
Kiryat HaYovel,723 - Temporarily Inactive,"51 Avraham Stern St., Jerusalem, Israel",,130,104,"Emergency and Security Division, Jerusalem Municipality",31.75406,35.17681
Kiryat HaYovel,724,"9 Volta Ilit St., Jerusalem, Israel",,90,72,"Emergency and Security Division, Jerusalem Municipality",31.75809,35.17853
Kiryat HaYovel,736,"8 Chile St., Jerusalem, Israel",,200,160,Yuvalim Community Administration,31.76052,35.17047
Kiryat HaYovel,737,"32 Janus Korczak St., Jerusalem, Israel",,150,120,"""Mishkan Mordechai"" synagogue",31.75982,35.17207
Kiryat HaYovel,738,"78 Anielewicz St., Jerusalem, Israel",,90,72,"""Bnei Akiva"" youth movement",31.76178,35.17359
Kiryat HaYovel,739,"3 Schmorak St., Jerusalem, Israel",,90,72,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Kiryat HaYovel,740,"7 Yisrael Zangvil St., Jerusalem, Israel",Shelter,90,72,"Emergency and Security Division, Jerusalem Municipality",31.76598,35.17737
Kiryat HaYovel,741,"5 Yisrael Zangvill St., Jerusalem, Israel",Shelter,90,72,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Kiryat HaYovel,814,"3 Volta Ilit St., Jerusalem, Israel",,130,104,Yuvalim Community Administration,31.75929,35.17718
Kiryat HaYovel,814 A,"3 Volta Ilit St., Jerusalem, Israel",,130,104,"""Beit HaKehilot"", Yuvalim Community Administration",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Kiryat HaYovel,815,"2 Aharon Rabinovich St., Jerusalem, Israel",,168,134,music institute,31.76489,35.17593
Kiryat HaYovel,815 A,"2 Aharon Rabinovich St., Jerusalem, Israel",,815 A,136,"""Yad Avi"" synagogue",31.76489,35.17593
Kiryat HaYovel,947,"17 Sireni St., Jerusalem, Israel",Shelter - the most protected,100,80,"Culture Division, Jerusalem Municipality",31.79002,35.20262
Kiryat HaYovel,963,"11 Yisrael Zangvill St., Jerusalem, Israel",,100,80,"""Siach Yisrael"" synagogue",31.79002,35.20262
Kiryat HaYovel,964 - Temporarily Inactive,"8 Meir Grunwald St., Jerusalem, Israel",,,144,"Emergency and Security Division, Jerusalem Municipality",31.75753,35.17598
Kiryat HaYovel,983,"10 Gordon St., Jerusalem, Israel",,100,80,"""Ezra"" youth movement",31.79002,35.20262
Kiryat HaYovel,991,"2 Avraham Sharon St., Jerusalem, Israel",,100,80,"""Mithazkim LeBoreh Olam"" organization",31.75658,35.18061
Kiryat HaYovel,992,"19 Etinger St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Kiryat HaYovel,993,"3 Kleinman St., Jerusalem, Israel",,100,80,"Mashu-Mashu Theatre, Culture Division, Jerusalem Municipality",31.79002,35.20262
Kiryat Menachem,729,"7 Dahomey St., Jerusalem, Israel",,250,200,Ganim Community Administration,31.75580,35.16568
Kiryat Menachem,731,"16 Colombia St., Jerusalem, Israel",Shelter,200,160,"Emergency and Security Division, Jerusalem Municipality",31.75828,35.16531
Kiryat Menachem,732,"7 Colombia St., Jerusalem, Israel",Shelter,160,128,"Emergency and Security Division, Jerusalem Municipality",31.75809,35.16731
Kiryat Menachem,734,"17 Iceland St., Jerusalem, Israel",,130,104,"Emergency and Security Division, Jerusalem Municipality",31.75922,35.16828
Kiryat Menachem,734 A,"17 Iceland St., Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality",31.75922,35.16828
Kiryat Menachem,803,"17 Henrietta Szold St., Jerusalem, Israel",,113,90,"""Darchei Hayim"" yeshiva (dining room)",31.75975,35.16739
Kiryat Menachem,827,"4 Mexico St., Jerusalem, Israel",,,80,"""Ariel"" youth movement",31.75883,35.16876
Kiryat Moshe,748,"2 Ha'ilui St., Jerusalem, Israel",,134,107,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Kiryat Moshe,977,"23 Gat St., Jerusalem, Israel",,100,80,Meitarim Community Administration,31.78621,35.19733
Kiryat Moshe,978,"13 HaRav Tzvi Yehuda St., Jerusalem, Israel",,100,80,Meitarim Community Administration,31.75677,35.22120
Kiryat Shmuel,667,"22 HaPalmach St., Jerusalem, Israel",,180,144,"Emergency and Security Division, Jerusalem Municipality",31.76738,35.21126
Kiryat Shmuel,668,"15 HaRav Brodi St., Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality",31.76916,35.20965
Kiryat Shmuel,971,"16 HaPalmach St., Jerusalem, Israel",,100,80,Ginot Ha'ir Community Administration,Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Kiryat Yovel,726 B,"125 HaNurit St., Jerusalem, Israel",,120,96,"Emergency and Security Division, Jerusalem Municipality",31.75243,35.17162
Kiryat Yovel,726 A,"124 HaNurit St., Jerusalem, Israel",,120,80,"Emergency and Security Division, Jerusalem Municipality",31.75243,35.17162
Mahane Yehuda,646,"4 Eliyahu Mani St., Jerusalem, Israel",Shelter - the most protected,40,32,"Emergency and Security Division, Jerusalem Municipality",31.78523,35.21045
Mahane Yehuda,648,"15 Nahar Prat St., Jerusalem, Israel",,236,188,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Mahane Yehuda,821,"24 Einayim LaMishpat St., Jerusalem, Israel",,120,96,Lev Ha'Ir Community Administration,31.78301,35.21370
Mahane Yehuda,935,"28 Be'er Sheva St., Jerusalem, Israel",,170,136,community synagogue,31.78257,35.21060
Mahane Yehuda,961,"17 Even Sapir St., Jerusalem, Israel",,100,80,"""Ariel"" youth movement",31.78080,35.21110
Malha,813,"7 Kdoshei Struma St., Jerusalem, Israel",,,96,"Youth Promotion Department, Jerusalem Municipality",31.75570,35.18311
Mea Shearim,624 - Temporarily Inactive,"17 Lapidot St., Jerusalem, Israel",Shelter - the most protected,40,32,"Emergency and Security Division, Jerusalem Municipality",31.78925,35.22233
Mea She'arim,632,"87 Me'a She'arim St., Jerusalem, Israel",Shelter,80,64,"Emergency and Security Division, Jerusalem Municipality",31.78592,35.22466
Mea She'arim,826,"6 Otsar HaSfarim St., Jerusalem, Israel",,150,120,"""Moreshet HaNahal"" yeshiva",31.79002,35.20262
Mekor Baruch,641,"25 Kfar Nahum St., Jerusalem, Israel",,180,144,"""HaMeor Nativ Kodesh"" organization",31.78905,35.21305
Mekor Baruch,643,"73 Malkei Israel St., Jerusalem, Israel",,400,320,"Emergency and Security Division, Jerusalem Municipality",31.79054,35.21144
Mekor Baruch,806 - Temporarily Inactive,"12 Gesher HaHaim St., Jerusalem, Israel",,,152,"Emergency and Security Division, Jerusalem Municipality",31.78866,35.20821
Mekor Baruch,812,"109 Rashi St., Jerusalem, Israel",,110,88,"Emergency and Security Division, Jerusalem Municipality",31.78906,35.20730
Mekor Baruch,839,"14 Tashbatz St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Mekor Baruch,909,"7 Yehuda HaMaccabi St., Jerusalem, Israel",,120,96,"Toar Gallery, Culture Division, Jerusalem Municipality",31.78861,35.20943
Mekor Haim,706 - Temporarily Inactive,"42 Mekor Haim St., Jerusalem, Israel",Shelter - the most protected,,36,"Emergency and Security Division, Jerusalem Municipality",31.75380,35.21088
Morasha,653,"3 Mishmarot St., Jerusalem, Israel",Shelter - the most protected,40,32,"Emergency and Security Division, Jerusalem Municipality",31.78198,35.22688
Morasha,751,"10 HaAyin Het St., Jerusalem, Israel",,,80,Musrara photography school,31.78275,35.22649
Morasha,752,"21 HaAyin Het St., Jerusalem, Israel",21 HaAyin Het St.,100,80,Musrara photography school,31.78132,35.22681
Morasha,753,"16 Kheil HaHandasa St., Jerusalem, Israel",,100,80,Eshkolot Community Administration,31.79002,35.20262
Nachlaot,657,"21 Tsfat St., Jerusalem, Israel",,,400,"Society Division of Jerusalem Municipality, ""Ariel"" youth movement",31.79002,35.20262
Nave Sha'anan,939,"17 Neve Sha'anan St., Jerusalem, Israel",,100,80,"Koom-Koom Theatre, Culture Division, Jerusalem Municipality",31.79002,35.20262
Old Katamon,669,"42 HaPalmach St., Jerusalem, Israel",Shelter - the most protected,130,104,,31.76635,35.20888
Old Katamon,671,"22 Kaf Tet BeNovember St., Jerusalem, Israel",,160,128,"Emergency and Security Division, Jerusalem Municipality",31.76626,35.21522
Old Katamon,696,"3 Reish Lakish St., Jerusalem, Israel",,164,131,"Emergency and Security Division, Jerusalem Municipality",31.76091,35.21318
Old Katamon,702,"12 Halafta St., Jerusalem, Israel",,380,304,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Old Katamon,703,"53 Yohanan Ben Zakai St., Jerusalem, Israel",,170,136,"""Zchut Avot"" synagogue",31.79002,35.20262
Old Katamon,923 - Temporarily Inactive,"15 Elazar HaModa'i St., Jerusalem, Israel",,100,80,"Youth Advancement Department, Society Division, Jerusalem Municipality",31.76184,35.21392
Old Katamon,937,"38 Hizkiyahu HaMelech St., Jerusalem, Israel",,100,80,"Youth Promotion Department, Education Division, Jerusalem Municipality",31.76142,35.20964
Rehavia,658,"13 Ibn Ezra St., Jerusalem, Israel",,80,64,"Emergency and Security Division, Jerusalem Municipality",31.77573,35.21360
Rehavia,659,"15 Ibn Gabirol St., Jerusalem, Israel",,160,128,"Emergency and Security Division, Jerusalem Municipality",31.77566,35.21471
Rehavia,809,"9 Rashba St., Jerusalem, Israel",,90,72,"Emergency and Security Division, Jerusalem Municipality",31.77472,35.21067
Rehavia,810,"9 Ovadia MeBartenora St., Jerusalem, Israel",מקלט,150,120,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Rehavia,816,"50 Azza St., Jerusalem, Israel",,120,96,"Holocaust survivors' organization, Jerusalem",31.77032,35.21213
Rehavia,835,"18 Arlozorov St., Jerusalem, Israel",,190,152,"Emergency and Security Division, Jerusalem Municipality",31.77218,35.21588
Rehavia,972,"26 AlHarizi St., Jerusalem, Israel",,100,80,"""Beit Yael"", Culture Division, Jerusalem Municipality",31.77611,35.21516
Romema,606,"1 Pnina St., Jerusalem, Israel",,80,64,"Emergency and Security Division, Jerusalem Municipality",31.79519,35.21334
Romema,750,"5 Zichron Ya'akov St., Jerusalem, Israel",,130,104,Romema Community Administration,31.79002,35.20262
Romema,933,"38 HaMem Gimel St., Jerusalem, Israel",,100,80,"""Lev Malka"" organization",31.79668,35.19991
Romema,975 A,"15 Zichron Ya'akov St., Jerusalem, Israel",,50,40,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Romema,975 B,"17 Zichron Ya'akov St., Jerusalem, Israel",,50,40,"""Drachei Miryam"" organization",31.79002,35.20262
Romema,975 C,"19 Zichron Ya'akov St., Jerusalem, Israel",,50,40,"""Lev Malka"" organization",31.79002,35.20262
Romema,975 D,"21 Zichron Ya'akov St., Jerusalem, Israel",,50,40,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Romema,979,"10 Zichron Ya'akov St., Jerusalem, Israel",,100,80,"""Hanichei HaYeshivot Romema"" synagogue",31.79002,35.20262
Sanhedria,601,"1 Gan Sanhedrin St., Jerusalem, Israel",Shelter - the most protected,,36,"""Mishkolitz"" institutions",31.79002,35.20262
Sanhedria,602,"6 HaSanhedrin St., Jerusalem, Israel",Shelter - the most protected,100,80,"""Hasidei Morditz"" yeshiva",31.79747,35.21874
Sanhedria,603,"10 HaRav Bloy St., Jerusalem, Israel",,120,96,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Shmuel HaNavi,604,"8 Shimon Hacham St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",31.75785,35.22141
Shmuel HaNavi,605,"2 Bar Ilan St., Jerusalem, Israel",Shelter,500,400,"Emergency and Security Division, Jerusalem Municipality",31.79458,35.21764
Shmuel HaNavi,616,"61 Shmuel Hanavi St., Jerusalem, Israel",,,80,"Emergency and Security Division, Jerusalem Municipality",31.79529,35.22016
Shmuel HaNavi,617,"3 Gmul St., Jerusalem, Israel",Shelter,40,32,"""Iyun Uvracha"" organization",31.79053,35.22564
Shmuel HaNavi,618,"66 Shmuel HaNavi St., Jerusalem, Israel",,110,137,"""Ohalei Ya'akov"" synagogue",31.79529,35.22016
Shmuel HaNavi,957,"19 Avinadav St., Jerusalem, Israel",,450,360,"""Agudat Or HaTzafon"" synagogue",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Shu'afat,997 - Temporarily Inactive,"Shikunei Nuseiba, Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Talbiya,656,"19 Keren HaYesod St., Jerusalem, Israel",Shelter - the most protected,250,200,"Emergency and Security Division, Jerusalem Municipality",31.77369,35.21929
Talbiya,807,"7 Benjamin Disraeli St., Jerusalem, Israel",,115,92,"Emergency and Security Division, Jerusalem Municipality",31.76989,35.21983
Talpiot,679,"59 Hebron Rd., Jerusalem, Israel",,200,160,"Emergency and Security Division, Jerusalem Municipality",31.75914,35.22305
Talpiot,688,"18 Efrata St., Jerusalem, Israel",,200,160,"Emergency and Security Division, Jerusalem Municipality",31.75272,35.22205
Talpiot,689,"10 Ben Gavriel St., Jerusalem, Israel",,90,72,"Emergency and Security Division, Jerusalem Municipality",31.75031,35.22060
Talpiot,690 - Temporarily Inactive,"12 Klausner St., Jerusalem, Israel",,240,192,"Emergency and Security Division, Jerusalem Municipality",31.74925,35.22349
Talpiot,691,"93 Bethlehem Rd., Jerusalem, Israel",,440,352,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Talpiot,940,"17 Shalom Yehuda St., Jerusalem, Israel",,100,80,"""Ezra"" youth movement",31.75723,35.21961
Zikhron Moshe,928,"8 Pri Hadash St., Jerusalem, Israel",,130,104,"""Or Leah"" organization",31.78722,35.21759
